,bakery,store,grocery,shops,shop,supermarket,market,stores,center,malls,markets,cafe,bakeries,cleaners,gym,bazaar,cable,stalls,sink,club,deli,boutique,sinks,mall,gyms,stall,mart,groceries,supermarkets,centers,hotspots,bookshop,bookstore,clubs,garage,plaza,stand,bookstores,diners,brasserie,grill,joints,diner,joint,cafes,boutiques,steakhouse,bistro,bazaars,salons,stands,marts,barbershop,salon,hotspot,cisterns,cafeteria,gymnasium,hypermarket,pharmacy,cables,nightclub,self-service,automats,dive,cesspool,cesspit,cistern,booths,canteen,bistros,patisserie,pizzeria,casino,brewpub,nightclubs,delicatessen,garages,booth,dives,hdtv,steakhouses,pharmacies,casinos,cabaret,florists,drugstore,nightspot,emporium,buttery,bodegas,rotisserie,emporiums,florist,cybercafe,delis,coffeehouse,grocerys,bookshops,marketplace,patisseries,tearoom,drugstores,caffs,caff,plazas,cafeterias,nightspots,bazar,pull-up,off-licence,newsstands,delicatessens,estaminet,brasseries,discounter,grills,discounters,off-licences,outfitters,newsstand,bakerys,bodega,teahouse,tearooms,juke,pizzerias,charcuterie,canteens,grillroom,charcuteries,souk,souks,coffeehouses,toyshop,teashop,teahouses,confectionery,jook
the palmer house hilton,19.0,5.0,,6.0,3.0,,,4.0,23.0,,,1.0,,,11.0,,6.0,,2.0,7.0,,,1.0,,,,,,,,,,,1.0,8.0,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
marriott chicago downtown magnificent mile,,6.0,2.0,12.0,15.0,,1.0,5.0,25.0,,,,,1.0,4.0,,2.0,,2.0,8.0,,,,2.0,,,,,,,1.0,,,3.0,5.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holiday inn chicago o hare,,4.0,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheraton chicago hotel and towers,2.0,12.0,9.0,5.0,8.0,3.0,4.0,2.0,28.0,,,1.0,,,18.0,,2.0,,9.0,26.0,1.0,4.0,,,,,,,,,,,,1.0,6.0,1.0,1.0,,,,2.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holiday inn hotel suites downtown,,,1.0,2.0,1.0,,,,6.0,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyatt regency mccormick place,,5.0,1.0,5.0,4.0,,,2.0,42.0,,,,,,5.0,,5.0,,3.0,1.0,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
fairfield inn chicago midway airport,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyatt regency chicago,10.0,15.0,13.0,17.0,9.0,,1.0,2.0,22.0,,,1.0,,1.0,7.0,,2.0,,7.0,11.0,3.0,1.0,1.0,,,1.0,,1.0,,,,,,,7.0,,6.0,,,,1.0,1.0,2.0,,,,2.0,11.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the westin michigan avenue chicago,1.0,5.0,1.0,10.0,11.0,,1.0,7.0,19.0,1.0,,1.0,1.0,,5.0,,2.0,,3.0,2.0,,,,2.0,,,,,,1.0,,,,2.0,3.0,1.0,2.0,,,,13.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hilton chicago,,8.0,,10.0,14.0,,1.0,9.0,29.0,,1.0,,,,17.0,,2.0,,7.0,13.0,,1.0,1.0,,,,,,,1.0,,,,2.0,7.0,,4.0,1.0,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
river hotel,5.0,1.0,,1.0,1.0,,,1.0,6.0,,,,,,3.0,,2.0,,2.0,39.0,,,,,,3.0,,,,,,,,,4.0,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crowne plaza chicago the metro,,11.0,13.0,2.0,1.0,1.0,,2.0,6.0,,,1.0,,,4.0,,2.0,,1.0,2.0,,,,,1.0,,,1.0,,,,,,,1.0,16.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
westin chicago northwest,,1.0,,,2.0,,,,1.0,,,,,1.0,3.0,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buckingham athletic club,,,,,,,,,3.0,,,,,,,,1.0,,,9.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oakwood apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hilton chicago o hare airport,,5.0,,1.0,4.0,,,2.0,12.0,,,,,,8.0,,2.0,,1.0,2.0,,,,,,,,,,,,,,,3.0,,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
club quarters chicago wacker at michigan,,,,,,,,,,,,,,,,,1.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
best western river north chicago downtown hotel,,1.0,,5.0,,,,1.0,3.0,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,2.0,5.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
chicago marriott at medical district uic,,,,1.0,1.0,1.0,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicago s essex inn,,2.0,,4.0,3.0,,1.0,2.0,10.0,,,,,,6.0,,3.0,,7.0,4.0,,,2.0,,,,,,,,,,,1.0,11.0,,2.0,,,,8.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w chicago lakeshore,,,,3.0,6.0,,1.0,2.0,12.0,,1.0,1.0,,,11.0,,2.0,,2.0,19.0,,4.0,2.0,1.0,1.0,,,,,1.0,,,,2.0,3.0,,2.0,,,,,,,,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allerton hotel,3.0,6.0,2.0,8.0,3.0,,,6.0,12.0,2.0,,,,,2.0,,3.0,,1.0,4.0,,4.0,,,,1.0,,,,,,,,4.0,3.0,9.0,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ohio house motel,,2.0,,1.0,2.0,2.0,,,2.0,,,,,,,,2.0,,,4.0,,1.0,,,,,,,,,,,,1.0,2.0,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inn of chicago magnificent mile,,8.0,,7.0,15.0,,1.0,5.0,6.0,,,1.0,,,2.0,,2.0,,12.0,,,4.0,1.0,,,,,,1.0,,,,,1.0,2.0,,1.0,,1.0,,,,3.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
best western grant park hotel,2.0,2.0,3.0,2.0,2.0,,,,3.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,4.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
central loop hotel,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w chicago city center,1.0,3.0,,4.0,4.0,,,1.0,64.0,,,,,1.0,8.0,,2.0,,3.0,13.0,,,,,,1.0,,,,,,,,2.0,1.0,,3.0,,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
willows hotel chicago,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the tremont chicago,,4.0,,1.0,5.0,1.0,,1.0,9.0,1.0,,,,,1.0,,9.0,,1.0,2.0,,9.0,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heart o chicago motel,2.0,,,4.0,1.0,,1.0,2.0,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travelodge chicago downtown,1.0,1.0,1.0,4.0,3.0,,,5.0,2.0,,,4.0,,,,,2.0,,3.0,1.0,,,,,,,,,,,,,,1.0,4.0,2.0,1.0,,,,,,4.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holiday inn express chicago midway airport,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la quinta inn suites chicago northshore,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extended stay america chicago skokie,,1.0,,1.0,1.0,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four points by sheraton chicago midway airport,,,1.0,,1.0,,,2.0,3.0,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheeler mansion,,,,,,,,,3.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramada inn lake shore chicago,,1.0,,1.0,1.0,,,,3.0,,,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
four points by sheraton chicago o hare airport,,,,,2.0,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
congress plaza hotel,1.0,6.0,,6.0,9.0,,,2.0,4.0,,,,,1.0,1.0,,8.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,5.0,42.0,,,1.0,,1.0,,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inn at lincoln park,,2.0,2.0,5.0,,,,1.0,,,,,,,,,4.0,,3.0,1.0,,,,,,,,1.0,,,,,,,5.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicago marriott o hare,,3.0,3.0,,4.0,1.0,,,7.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bellwood hotel,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habitat corporate suites at presidential towers,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super 8 chicago loyola university,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
howard johnson inn downtown chicago,,,,2.0,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,7.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the fisher building,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
courtyard chicago midway airport,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheraton chicago northwest,,1.0,,,,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red roof inn,1.0,6.0,,4.0,3.0,,,3.0,,,,2.0,,,,,1.0,,5.0,2.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinatown hotel,,,,3.0,,,,,2.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delaware towers,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palwaukee inn conference center,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicago o hare garden hotel,,,1.0,,,1.0,,,6.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belair hotel,,1.0,,1.0,,1.0,,1.0,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super 8 chicago o hare south,,1.0,1.0,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheffield house,1.0,2.0,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
midway inn,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chateau hotel,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abbott hotel,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skylark motel,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grosvenor house west marina beach by le meridien dubai,2.0,,,2.0,1.0,,3.0,2.0,4.0,14.0,,,,1.0,11.0,,2.0,,2.0,91.0,,,,15.0,,,,,,,1.0,,,1.0,,,2.0,,2.0,2.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,
mina a salam at madinat jumeirah,,1.0,,29.0,7.0,1.0,8.0,2.0,2.0,12.0,4.0,2.0,,2.0,17.0,,1.0,1.0,,47.0,,5.0,3.0,26.0,,,,,,,,,,2.0,,,3.0,,,,4.0,,,1.0,1.0,,10.0,,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,44.0,4.0,,,,,,
al manzil hotel,,1.0,,7.0,4.0,8.0,1.0,,5.0,10.0,1.0,2.0,,,2.0,,,,2.0,3.0,,1.0,1.0,28.0,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,
le royal meridien beach resort spa,1.0,,,32.0,7.0,10.0,1.0,1.0,1.0,17.0,,1.0,,,10.0,,1.0,,,79.0,,1.0,,19.0,,,,,3.0,,,,,2.0,,,3.0,,,24.0,4.0,1.0,1.0,,3.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,7.0,3.0,,,,,,
dar al masyaf at madinat jumeirah,,,,14.0,3.0,1.0,5.0,1.0,3.0,6.0,,1.0,,,1.0,,,1.0,,13.0,,,4.0,13.0,,,,,,,,,,3.0,1.0,,1.0,,2.0,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,1.0,,,,,,
al maha desert resort,,,,,1.0,,,,,1.0,,,,1.0,5.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
al qasr at madinat jumeirah,1.0,,,16.0,7.0,2.0,7.0,1.0,3.0,8.0,2.0,,,2.0,7.0,,1.0,2.0,,35.0,,1.0,4.0,23.0,,,,,,,,,,2.0,,,2.0,,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,4.0,,,,,,
jumeirah beach hotel,,2.0,,21.0,10.0,3.0,11.0,,5.0,26.0,2.0,,1.0,1.0,11.0,1.0,,,,81.0,,1.0,1.0,52.0,,,,,1.0,1.0,,,,2.0,,,,,,,2.0,,1.0,,1.0,1.0,,,,,1.0,,,2.0,,,,,,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,8.0,,1.0,,,,
residence and spa at one and only royal mirage,,,,,,,,,,1.0,,,,,2.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one only royal mirage,,,,2.0,3.0,1.0,1.0,,2.0,6.0,1.0,,,1.0,3.0,,,,,13.0,,1.0,,6.0,,1.0,,,,,,,,,,,2.0,,,,17.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
qamardeen hotel,,,,3.0,1.0,,,1.0,,,,,,,1.0,,,,1.0,1.0,,2.0,,13.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
grand hyatt dubai,1.0,,,7.0,4.0,,28.0,,9.0,6.0,,3.0,,,10.0,,1.0,1.0,,21.0,,2.0,4.0,14.0,,1.0,,,,,,,,,,,,,,,11.0,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
